"Pig","Treatment","Pen","Time","Temperature_C"
"20-14","D",13,4,41.2222222222222
"10-7","E",14,4,39.3888888888889
"12-11","A",15,4,40.8333333333333
"14-16","D",16,4,41.0555555555556
"25-6","C",17,4,39.6111111111111
"21-7","B",18,4,40.8888888888889
"21-10","B",19,4,40.8888888888889
"8-12","D",20,4,41.2222222222222
"2-12","C",21,4,40.2777777777778
"3-11","E",24,4,40.8888888888889
"10-4","A",25,4,40.2777777777778
"14-3","D",26,4,40.8888888888889
"3-8","A",27,4,40.5
"15-12","C",28,4,40.9444444444444
"15-11","B",29,4,40.7222222222222
"1-10","E",30,4,40.6111111111111
"14-17","C",31,4,40.3888888888889
"8-6","A",32,4,40.5
"10-17","B",36,4,38.8333333333333
"6-16","E",37,4,40.2777777777778
"11-10","A",38,4,39.7222222222222
"9-18","C",39,4,41.3333333333333
"22-7","D",40,4,40.5
"24-2","E",41,4,40.5555555555556
"20-3","B",42,4,39.8333333333333
"7-7","A",43,4,40.7222222222222
"2-4","D",44,4,37.9444444444444
"3-13","B",45,4,40.3333333333333
"20-4","D",46,4,40.3333333333333
"3-4","C",47,4,39.3888888888889
"25-8","E",48,4,39.8333333333333
"12-15","C",49,4,40.8888888888889
"16-5","D",50,4,41.2222222222222
"17-4","E",51,4,41.2222222222222
"2-13","B",52,4,40.6111111111111
"13-4","A",53,4,40.0555555555556
"15-6","E",56,4,40.2777777777778
"24-10","A",57,4,40.7222222222222
"9-4","D",58,4,41.5555555555556
"22-4","C",59,4,40.3888888888889
"15-5","B",60,4,39.6111111111111
"7-5","D",61,4,41.1666666666667
"22-13","A",62,4,40.1111111111111
"16-8","B",63,4,41.1111111111111
"13-11","E",68,4,40.8888888888889
"11-11","C",69,4,40.3333333333333
"14-8","D",70,4,40.2777777777778
"9-19","E",71,4,40.9444444444444
"5-1","C",72,4,41.2222222222222
"18-10","B",73,4,39.1111111111111
"23-9","A",74,4,41.1111111111111
"20-7","D",75,4,40.6666666666667
"15-15","B",78,4,38.3333333333333
"11-12","E",79,4,40.7777777777778
"14-5","A",80,4,41.1111111111111
"15-14","C",81,4,40.3888888888889
"9-1","B",82,4,40.8333333333333
"16-4","C",83,4,41.7777777777778
"14-13","A",84,4,40.2777777777778
"20-9","D",85,4,41.1666666666667
"14-15","E",86,4,40.6666666666667
"16-7","B",1,6,40.3333333333333
"23-10","C",2,6,40.8333333333333
"1-8","A",3,6,40.0555555555556
"3-3","E",4,6,40.2777777777778
"6-13","D",5,6,40.5555555555556
"19-10","B",6,6,40.9444444444444
"9-6","E",7,6,39.1666666666667
"12-14","A",8,6,40.7222222222222
"16-3","C",9,6,39.8333333333333
"20-14","D",13,6,40.5555555555556
"10-7","E",14,6,39.3333333333333
"12-11","A",15,6,40.7777777777778
"14-16","D",16,6,40.2777777777778
"25-6","C",17,6,39.5555555555556
"21-7","B",18,6,40.3333333333333
"21-10","B",19,6,40.7777777777778
"8-12","D",20,6,40.7222222222222
"2-12","C",21,6,40.5555555555556
"3-11","E",24,6,40.0555555555556
"10-4","A",25,6,40.0555555555556
"14-3","D",26,6,40.1666666666667
"3-8","A",27,6,40.8333333333333
"15-12","C",28,6,41.3333333333333
"15-11","B",29,6,40.2222222222222
"1-10","E",30,6,39.8333333333333
"14-17","C",31,6,40.9444444444444
"8-6","A",32,6,40.2777777777778
"10-17","B",36,6,38.8333333333333
"6-16","E",37,6,40.5
"11-10","A",38,6,40.1111111111111
"9-18","C",39,6,40.7222222222222
"22-7","D",40,6,40.5555555555556
"24-2","E",41,6,40.0555555555556
"20-3","B",42,6,40.6666666666667
"7-7","A",43,6,40.4444444444444
"2-4","D",44,6,39.6111111111111
"3-13","B",45,6,40
"20-4","D",46,6,39.8888888888889
"3-4","C",47,6,40
"25-8","E",48,6,39.9444444444444
"12-15","C",49,6,40.6666666666667
"16-5","D",50,6,41.1111111111111
"17-4","E",51,6,40.4444444444444
"2-13","B",52,6,40.4444444444444
"13-4","A",53,6,40.2777777777778
"15-6","E",56,6,40.1666666666667
"24-10","A",57,6,40.3888888888889
"9-4","D",58,6,40.2777777777778
"22-4","C",59,6,40.1666666666667
"15-5","B",60,6,39.8888888888889
"7-5","D",61,6,40.3333333333333
"22-13","A",62,6,39.4444444444444
"16-8","B",63,6,40.7777777777778
"13-11","E",68,6,40.3888888888889
"11-11","C",69,6,40.2777777777778
"14-8","D",70,6,40.8888888888889
"9-19","E",71,6,40.5555555555556
"5-1","C",72,6,40.7777777777778
"18-10","B",73,6,40.3888888888889
"23-9","A",74,6,39.8888888888889
"20-7","D",75,6,40.9444444444444
"15-15","B",78,6,39.8333333333333
"11-12","E",79,6,40.2777777777778
"14-5","A",80,6,41
"15-14","C",81,6,40.2777777777778
"9-1","B",82,6,40.5
"16-4","C",83,6,40.8333333333333
"14-13","A",84,6,39.7222222222222
"20-9","D",85,6,40.7222222222222
"14-15","E",86,6,39.9444444444444
"16-7","B",1,12,40
"23-10","C",2,12,39.7222222222222
"1-8","A",3,12,39.8888888888889
"3-3","E",4,12,40
"6-13","D",5,12,39.9444444444444
"19-10","B",6,12,40.1666666666667
"9-6","E",7,12,39.7777777777778
"12-14","A",8,12,39.8333333333333
"16-3","C",9,12,39.5555555555556
"20-14","D",13,12,40.2777777777778
"10-7","E",14,12,39.2777777777778
"12-11","A",15,12,40
"14-16","D",16,12,40.1111111111111
"25-6","C",17,12,39.4444444444444
"21-7","B",18,12,40.8888888888889
