"sy","site","year","hyb","mg_ha","pt_acre","srad_total","ppt_total","susm","tmean","yield"
1,1,2011,73,8.02796537948384,27006,2.37653226276457,3.5324584576816,164.015056080618,21.1508655937821,10.9316887532145
1,1,2011,85,6.74123128816704,27506,2.37653226276457,3.5324584576816,164.015056080618,21.1508655937821,10.8599474151247
1,1,2011,92,6.0570653566864,27006,2.37653226276457,3.5324584576816,164.015056080618,21.1508655937821,4.85497072520535
2,1,2012,1,5.61141598847424,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,13.1583056898392
2,1,2012,1,5.69929051178368,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,12.5757606265314
2,1,2012,1,9.35863673245536,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,13.5110030764506
2,1,2012,5,8.8188360892688,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6067709412267,9.60308172533238
2,1,2012,5,9.36491348412032,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6067709412267,10.1892731287309
2,1,2012,5,9.51555552407936,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6067709412267,10.8426102342049
2,1,2012,6,7.5948695146016,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,11.6560413137143
2,1,2012,6,9.0385223975424,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,12.349283998681
2,1,2012,6,11.3546437619126,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,11.7709766726254
2,1,2012,7,7.18060390471424,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6067709412267,14.0762111038749
2,1,2012,7,10.3754705021789,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6067709412267,14.6271784698681
2,1,2012,7,11.6810348484906,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6067709412267,13.4219600517551
2,1,2012,8,6.51526822822848,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,10.1325478073248
2,1,2012,8,9.6975813223632,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,10.5753448135227
2,1,2012,8,11.2793227419331,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,10.1909236499171
2,1,2012,9,9.41512749744,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6067709412267,2.67967676705755
2,1,2012,35,10.8901641387056,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6067709412267,15.1158690640244
2,1,2012,35,11.1726179636288,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6067709412267,16.3187646410592
2,1,2012,41,9.64736730904352,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,9.60352481677267
2,1,2012,41,12.0199794383984,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,8.21586756550809
2,1,2012,41,9.93609788563168,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6067709412267,9.45669905334433
2,1,2012,47,10.0930166772557,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6999046082756,12.0017150323445
2,1,2012,47,11.304429748593,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6999046082756,12.56193074163
2,1,2012,52,6.8730430731312,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,11.185898389687
2,1,2012,52,6.94208734144576,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,11.0428554189286
2,1,2012,52,11.2855994935981,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,10.108600930874
2,1,2012,52,7.10528288473472,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6999046082756,11.6246067334325
2,1,2012,52,10.8713338837107,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6999046082756,12.1145364971309
2,1,2012,52,11.6998651034854,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6999046082756,10.8128513631944
2,1,2012,53,7.77061856122048,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,13.1639962501963
2,1,2012,53,8.29158894941216,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,14.0323058713746
2,1,2012,53,9.70385807402816,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,12.1126141760106
2,1,2012,54,10.0741864222608,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6999046082756,19.3999995325914
2,1,2012,54,12.5032893166003,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6999046082756,17.8155821045662
2,1,2012,73,5.00884782863808,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,11.031430534954
2,1,2012,73,7.86476983619488,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,10.9249478087797
2,1,2012,73,8.41712398271136,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,9.59194191619774
2,1,2012,74,6.97347109977056,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,10.8199111553241
2,1,2012,74,8.01541187615392,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,10.7355300900177
2,1,2012,74,10.513559038808,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,10.988011846933
2,1,2012,74,8.68074755263968,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6999046082756,10.358947533339
2,1,2012,74,9.8231163556624,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6999046082756,10.6888809921791
2,1,2012,74,12.4154147932909,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6999046082756,10.6017717635112
