"Treatment","Time","Material","Biological Rep","Technical Rep","Total CFU/coupon","Log CFU/coupon"
3,3,"D",1,2,0,2.44
3,3,"D",2,1,0,2.44
3,3,"D",2,2,0,2.44
3,3,"D",3,1,0,2.44
3,3,"D",3,2,0,2.44
3,3,"E",1,1,0,2.44
3,3,"E",1,2,0,2.44
3,3,"E",2,1,0,2.44
3,3,"E",2,2,0,2.44
3,3,"E",3,1,0,2.44
3,3,"E",3,2,0,2.44
4,2,"A",1,1,0,2.44
4,2,"A",1,2,0,2.44
4,2,"A",2,1,0,2.44
4,2,"A",2,2,0,2.44
4,2,"A",3,1,19817.0723232522,4.21718907292476
4,2,"A",3,2,0,2.44
4,2,"B",1,1,0,2.44
4,2,"B",1,2,0,2.44
4,2,"B",2,1,0,2.44
4,2,"B",2,2,0,2.44
4,2,"B",3,1,0,2.44
4,2,"B",3,2,0,2.44
4,2,"C",1,1,0,2.44
4,2,"C",1,2,0,2.44
4,2,"C",2,1,0,2.44
4,2,"C",2,2,0,2.44
4,2,"C",3,1,0,2.44
4,2,"C",3,2,0,2.44
4,2,"D",1,1,0,2.44
4,2,"D",1,2,0,2.44
4,2,"D",2,1,0,2.44
4,2,"D",2,2,0,2.44
4,2,"D",3,1,0,2.44
4,2,"D",3,2,0,2.44
4,2,"E",1,1,0,2.44
4,2,"E",1,2,0,2.44
4,2,"E",2,1,0,2.44
4,2,"E",2,2,0,2.44
4,2,"E",3,1,0,2.44
4,2,"E",3,2,0,2.44
4,3,"A",1,1,0,2.44
4,3,"A",1,2,0,2.44
4,3,"A",2,1,0,2.44
4,3,"A",2,2,0,2.44
4,3,"A",3,1,0,2.44
4,3,"A",3,2,0,2.44
4,3,"B",1,1,0,2.44
4,3,"B",1,2,0,2.44
4,3,"B",2,1,0,2.44
4,3,"B",2,2,0,2.44
4,3,"B",3,1,0,2.44
4,3,"B",3,2,0,2.44
4,3,"C",1,1,0,2.44
4,3,"C",1,2,0,2.44
4,3,"C",2,1,0,2.44
4,3,"C",2,2,0,2.44
4,3,"C",3,1,0,2.44
4,3,"C",3,2,0,2.44
4,3,"D",1,1,0,2.44
4,3,"D",1,2,0,2.44
4,3,"D",2,1,0,2.44
4,3,"D",2,2,0,2.44
4,3,"D",3,1,0,2.44
4,3,"D",3,2,0,2.44
4,3,"E",1,1,0,2.44
4,3,"E",1,2,0,2.44
4,3,"E",2,1,0,2.44
4,3,"E",2,2,0,2.44
4,3,"E",3,1,0,2.44
4,3,"E",3,2,0,2.44
5,2,"A",1,1,0,2.44
5,2,"A",1,2,0,2.44
5,2,"A",2,1,0,2.44
5,2,"A",2,2,0,2.44
5,2,"A",3,1,0,2.44
5,2,"A",3,2,0,2.44
5,2,"B",1,1,0,2.44
5,2,"B",1,2,0,2.44
5,2,"B",2,1,0,2.44
5,2,"B",2,2,0,2.44
5,2,"B",3,1,0,2.44
5,2,"B",3,2,0,2.44
5,2,"C",1,1,0,2.44
5,2,"C",1,2,0,2.44
5,2,"C",2,1,0,2.44
5,2,"C",2,2,0,2.44
5,2,"C",3,1,0,2.44
5,2,"C",3,2,0,2.44
5,2,"D",1,1,0,2.44
5,2,"D",1,2,0,2.44
5,2,"D",2,1,0,2.44
5,2,"D",2,2,0,2.44
5,2,"D",3,1,0,2.44
5,2,"D",3,2,0,2.44
5,2,"E",1,1,0,2.44
5,2,"E",1,2,0,2.44
5,2,"E",2,1,0,2.44
5,2,"E",2,2,0,2.44
5,2,"E",3,1,0,2.44
5,2,"E",3,2,0,2.44
5,3,"A",1,1,0,2.44
5,3,"A",1,2,0,2.44
5,3,"A",2,1,0,2.44
5,3,"A",2,2,0,2.44
5,3,"A",3,1,0,2.44
5,3,"A",3,2,0,2.44
5,3,"B",1,1,0,2.44
5,3,"B",1,2,0,2.44
5,3,"B",2,1,0,2.44
5,3,"B",2,2,0,2.44
5,3,"B",3,1,0,2.44
5,3,"B",3,2,0,2.44
5,3,"C",1,1,0,2.44
5,3,"C",1,2,0,2.44
5,3,"C",2,1,0,2.44
5,3,"C",2,2,0,2.44
5,3,"C",3,1,0,2.44
5,3,"C",3,2,0,2.44
5,3,"D",1,1,0,2.44
5,3,"D",1,2,0,2.44
5,3,"D",2,1,0,2.44
5,3,"D",2,2,0,2.44
5,3,"D",3,1,0,2.44
5,3,"D",3,2,0,2.44
5,3,"E",1,1,0,2.44
5,3,"E",1,2,0,2.44
5,3,"E",2,1,0,2.44
5,3,"E",2,2,0,2.44
5,3,"E",3,1,0,2.44
5,3,"E",3,2,0,2.44
7,2,"A",1,1,914.634107227026,2.96124739243533
7,2,"A",1,2,0,2.44
7,2,"A",2,1,609.756071484684,2.63464113554766
7,2,"A",2,2,304.878035742342,2.44206306885783
7,2,"A",3,1,304.878035742342,2.48412613771567
7,2,"A",3,2,53048.7782191674,4.72216498531074
7,2,"B",1,1,21951.2185734486,4.30898823068043
7,2,"B",1,2,609.756071484684,2.93567113121164
7,2,"B",2,1,0,2.44
7,2,"B",2,2,0,2.44
7,2,"B",3,1,0,2.44
7,2,"B",3,2,0,2.44
7,2,"C",1,1,3353.65839316575,3.54441310331859
7,2,"C",1,2,9756.09714375492,3.99595809681456
7,2,"C",2,1,0,2.44
7,2,"C",2,2,0,2.44
